Clusters,Inter_Euclidean,Intra_Euclidean,Inter_Manhattan,Intra_Manhattan,Inter_Cosine,Intra_Cosine
2,,0.5857263988784434,,0.6126306682328055,,0.6596198467256895
3,0.44550098668196797,0.6412920359857862,0.39374738857823477,0.5325849696205244,0.5390988717340208,0.547748383828604
4,0.5436783296571029,0.6633584986940669,0.5046811764978321,0.590115315175608,0.3433755900423818,0.5795156373536662
5,0.513216039586491,0.6671036406328618,0.4220685353747293,0.5614982551606269,0.4832074259059875,0.607307911498336
6,0.4286948815755307,0.5340229939870124,0.5194732669157824,0.5498637104828672,0.4142262175124717,0.5796973426027111
7,0.5644567587434477,0.5627815450323742,0.3569184111777165,0.6190762183173409,0.454430517473537,0.5741780135312718
8,0.628456629099414,0.496544948429166,0.5249224788594465,0.5919368290656449,0.3636393263049505,0.5322316890643861
9,0.47548932608213146,0.5404505734665781,0.5602110862335629,0.5059472201058608,0.4113783167694185,0.5752043446401627
10,0.5249305698868356,0.5705058814911895,0.5723834591539676,0.5120443733958407,0.3903879801139442,0.5516412480470636
11,0.5169217925239425,0.526423167192818,0.5723834591539676,0.5120443733958407,0.45950550307700083,0.5780578705837888
12,0.4227753417353612,0.5687918362047432,0.386163293161442,0.538523832374075,0.41847031660183376,0.5390846590687924
13,0.6274671995976363,0.5715731886115619,0.3609772176489233,0.5319397488092629,0.5033155869429322,0.5694980009196231
14,0.31515462593621923,0.5310498884975472,0.4883173625084945,0.5281339558107555,0.4099104949503274,0.5423576057822629
15,0.3635784771656272,0.5946735688194503,0.37572666506042024,0.5044010873601484,0.3849125274189901,0.5148404887456701
16,0.5660908354048754,0.5884578308443207,0.5050867706379325,0.5170016203570298,0.38418680417104756,0.5114703851339159
17,0.3911464321469829,0.5803110857954072,0.3635220184320908,0.5681240919179086,0.4751116241034884,0.5109310378924633
18,0.3853846514950901,0.53312847961834,0.4049060887120058,0.5406854524627115,0.36209640407582677,0.5158317933567054
19,0.3312377177708537,0.5438208311267269,0.32265417145879927,0.5092133752739527,0.3104873570353525,0.515404764590203
20,0.5330154937774003,0.5412327121306743,0.4990952978340787,0.5182023758417932,0.4231804911131809,0.5002917085801387
21,0.3495015597532075,0.5467698143887663,0.34301606567364146,0.4888355982977496,0.3221434521833822,0.561538936462369
22,0.36796146109812583,0.6841533052923038,0.3446919979289302,0.5026082782502705,0.3354668539120869,0.5290855423135046
23,0.32222646687860634,0.5762203215030397,0.35672674744022514,0.5816827501437792,0.3307234394272673,0.5037037037037025
24,0.3064183112040412,0.4995384369751972,0.3522156539565327,0.5336969016528824,0.4929427699482157,0.5411890491064961
25,0.3335388439557456,0.5311081313007264,0.32220281211705976,0.48333333333333434,0.3168459430330045,0.5037037037037024
26,0.3312544981046878,0.4833333333333333,0.33651493152797457,0.48333333333333434,0.4887594056084435,0.48333333333333545
27,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
28,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
29,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
30,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
31,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
32,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
33,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
34,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
35,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
36,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
37,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
38,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
39,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
40,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
41,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
42,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
43,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
44,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
45,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
46,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
47,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
48,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
49,0.3326297850138881,,0.3326297850138881,,0.3326297850138881,
